company,start_date,end_date,start_close,end_close,percent_change,min_close,max_close,buy_sell_pairs,gross_profit_if_1_share,latest_date,latest_signal,recommendation,overall_percent_change
TVS Motors,2015-01-01 00:00:00,2018-07-31 00:00:00,276.85,517.45,86.91,213.55,785.3,229,2551.25,2018-07-31 00:00:00,HOLD,HOLD,86.91
Eicher Motors,2015-01-01 00:00:00,2018-07-31 00:00:00,15239.15,27820.95,82.56,14320.6,32786.4,217,140430.45,2018-07-31 00:00:00,SELL,HOLD,82.56
Bajaj Auto,2015-01-01 00:00:00,2018-07-31 00:00:00,2454.1,2700.7,10.05,1949.4,3409.5,232,12423.75,2018-07-31 00:00:00,HOLD,HOLD,10.05
Hero Motocorp,2015-01-01 00:00:00,2018-07-31 00:00:00,3107.3,3293.8,6.0,2279.8,4047.3,224,14494.85,2018-07-31 00:00:00,BUY,BUY,6.0
TCS,2015-01-01 00:00:00,2018-07-31 00:00:00,2548.2,1941.25,-23.82,1721.2,3604.8,217,11711.9,2018-07-31 00:00:00,HOLD,HOLD,-23.82
Infosys,2015-01-01 00:00:00,2018-07-31 00:00:00,1975.8,1365.0,-30.91,873.5,2326.6,226,6036.45,2018-07-31 00:00:00,HOLD,HOLD,-30.91
