company,date,close,signal
Bajaj Auto,2015-01-01 00:00:00,2454.1,HOLD
Bajaj Auto,2015-01-02 00:00:00,2453.5,HOLD
Bajaj Auto,2015-01-05 00:00:00,2460.15,HOLD
Bajaj Auto,2015-01-06 00:00:00,2440.35,HOLD
Bajaj Auto,2015-01-07 00:00:00,2447.2,HOLD
Bajaj Auto,2015-01-08 00:00:00,2450.05,BUY
Bajaj Auto,2015-01-09 00:00:00,2381.5,HOLD
Bajaj Auto,2015-01-12 00:00:00,2333.25,SELL
Bajaj Auto,2015-01-13 00:00:00,2326.25,SELL
Bajaj Auto,2015-01-14 00:00:00,2363.65,HOLD
Bajaj Auto,2015-01-15 00:00:00,2417.95,BUY
Bajaj Auto,2015-01-16 00:00:00,2420.05,BUY
Bajaj Auto,2015-01-19 00:00:00,2411.3,HOLD
Bajaj Auto,2015-01-20 00:00:00,2411.05,SELL
Bajaj Auto,2015-01-21 00:00:00,2442.0,HOLD
Bajaj Auto,2015-01-22 00:00:00,2438.9,HOLD
Bajaj Auto,2015-01-23 00:00:00,2442.2,HOLD
Bajaj Auto,2015-01-27 00:00:00,2417.55,HOLD
Bajaj Auto,2015-01-28 00:00:00,2396.9,SELL
Bajaj Auto,2015-01-29 00:00:00,2402.7,HOLD
Bajaj Auto,2015-01-30 00:00:00,2389.35,HOLD
Bajaj Auto,2015-02-02 00:00:00,2347.8,SELL
Bajaj Auto,2015-02-03 00:00:00,2260.1,SELL
Bajaj Auto,2015-02-04 00:00:00,2247.55,SELL
Bajaj Auto,2015-02-05 00:00:00,2243.05,SELL
Bajaj Auto,2015-02-06 00:00:00,2228.25,SELL
Bajaj Auto,2015-02-09 00:00:00,2267.55,HOLD
Bajaj Auto,2015-02-10 00:00:00,2266.5,HOLD
Bajaj Auto,2015-02-11 00:00:00,2291.95,HOLD
Bajaj Auto,2015-02-12 00:00:00,2260.65,HOLD
Bajaj Auto,2015-02-13 00:00:00,2261.75,HOLD
Bajaj Auto,2015-02-16 00:00:00,2261.7,HOLD
Bajaj Auto,2015-02-18 00:00:00,2240.65,SELL
Bajaj Auto,2015-02-19 00:00:00,2223.4,SELL
Bajaj Auto,2015-02-20 00:00:00,2209.3,SELL
Bajaj Auto,2015-02-23 00:00:00,2184.75,SELL
Bajaj Auto,2015-02-24 00:00:00,2191.95,HOLD
Bajaj Auto,2015-02-25 00:00:00,2180.8,HOLD
Bajaj Auto,2015-02-26 00:00:00,2134.95,SELL
Bajaj Auto,2015-02-27 00:00:00,2150.45,HOLD
Bajaj Auto,2015-02-28 00:00:00,2161.8,BUY
Bajaj Auto,2015-03-02 00:00:00,2074.75,HOLD
Bajaj Auto,2015-03-03 00:00:00,2116.15,HOLD
Bajaj Auto,2015-03-04 00:00:00,2122.1,BUY
Bajaj Auto,2015-03-05 00:00:00,2120.35,HOLD
Bajaj Auto,2015-03-09 00:00:00,2113.1,SELL
Bajaj Auto,2015-03-10 00:00:00,2128.95,HOLD
Bajaj Auto,2015-03-11 00:00:00,2099.0,HOLD
Bajaj Auto,2015-03-12 00:00:00,2077.85,SELL
Bajaj Auto,2015-03-13 00:00:00,2022.9,SELL
Bajaj Auto,2015-03-16 00:00:00,2030.25,HOLD
Bajaj Auto,2015-03-17 00:00:00,2045.65,BUY
Bajaj Auto,2015-03-18 00:00:00,2034.55,HOLD
Bajaj Auto,2015-03-19 00:00:00,2024.4,SELL
Bajaj Auto,2015-03-20 00:00:00,2021.35,SELL
Bajaj Auto,2015-03-23 00:00:00,2032.75,HOLD
Bajaj Auto,2015-03-24 00:00:00,2027.9,HOLD
Bajaj Auto,2015-03-25 00:00:00,2017.85,SELL
Bajaj Auto,2015-03-26 00:00:00,2001.75,SELL
Bajaj Auto,2015-03-27 00:00:00,2017.15,HOLD
Bajaj Auto,2015-03-30 00:00:00,2023.75,BUY
Bajaj Auto,2015-03-31 00:00:00,2017.35,HOLD
Bajaj Auto,2015-04-01 00:00:00,2018.65,HOLD
Bajaj Auto,2015-04-06 00:00:00,2031.35,BUY
Bajaj Auto,2015-04-07 00:00:00,2093.0,BUY
Bajaj Auto,2015-04-08 00:00:00,2104.75,BUY
Bajaj Auto,2015-04-09 00:00:00,2097.25,HOLD
Bajaj Auto,2015-04-10 00:00:00,2100.6,HOLD
Bajaj Auto,2015-04-13 00:00:00,2100.45,HOLD
Bajaj Auto,2015-04-15 00:00:00,2077.8,SELL
Bajaj Auto,2015-04-16 00:00:00,2086.7,HOLD
Bajaj Auto,2015-04-17 00:00:00,2065.7,HOLD
Bajaj Auto,2015-04-20 00:00:00,2018.5,SELL
Bajaj Auto,2015-04-21 00:00:00,1992.95,SELL
Bajaj Auto,2015-04-22 00:00:00,1988.5,SELL
Bajaj Auto,2015-04-23 00:00:00,1991.4,HOLD
Bajaj Auto,2015-04-24 00:00:00,1996.85,BUY
Bajaj Auto,2015-04-27 00:00:00,1990.55,HOLD
Bajaj Auto,2015-04-28 00:00:00,1990.55,HOLD
Bajaj Auto,2015-04-29 00:00:00,1978.1,HOLD
Bajaj Auto,2015-04-30 00:00:00,1949.4,SELL
Bajaj Auto,2015-05-04 00:00:00,2093.7,HOLD
Bajaj Auto,2015-05-05 00:00:00,2063.35,HOLD
Bajaj Auto,2015-05-06 00:00:00,2020.25,SELL
Bajaj Auto,2015-05-07 00:00:00,2067.0,HOLD
Bajaj Auto,2015-05-08 00:00:00,2129.35,BUY
Bajaj Auto,2015-05-11 00:00:00,2182.1,BUY
Bajaj Auto,2015-05-12 00:00:00,2128.95,HOLD
Bajaj Auto,2015-05-13 00:00:00,2125.2,SELL
Bajaj Auto,2015-05-14 00:00:00,2165.0,HOLD
Bajaj Auto,2015-05-15 00:00:00,2181.85,BUY
Bajaj Auto,2015-05-18 00:00:00,2221.95,BUY
Bajaj Auto,2015-05-19 00:00:00,2199.25,HOLD
Bajaj Auto,2015-05-20 00:00:00,2150.5,SELL
Bajaj Auto,2015-05-21 00:00:00,2299.75,HOLD
Bajaj Auto,2015-05-22 00:00:00,2310.5,BUY
Bajaj Auto,2015-05-25 00:00:00,2301.85,HOLD
Bajaj Auto,2015-05-26 00:00:00,2315.5,HOLD
Bajaj Auto,2015-05-27 00:00:00,2306.4,HOLD
Bajaj Auto,2015-05-28 00:00:00,2302.65,SELL
Bajaj Auto,2015-05-29 00:00:00,2315.0,HOLD
Bajaj Auto,2015-06-01 00:00:00,2336.3,BUY
Bajaj Auto,2015-06-02 00:00:00,2269.1,HOLD
Bajaj Auto,2015-06-03 00:00:00,2240.8,SELL
Bajaj Auto,2015-06-04 00:00:00,2216.2,SELL
Bajaj Auto,2015-06-05 00:00:00,2199.35,SELL
Bajaj Auto,2015-06-08 00:00:00,2221.3,HOLD
Bajaj Auto,2015-06-09 00:00:00,2185.85,HOLD
Bajaj Auto,2015-06-10 00:00:00,2253.1,HOLD
Bajaj Auto,2015-06-11 00:00:00,2207.55,HOLD
Bajaj Auto,2015-06-12 00:00:00,2285.55,HOLD
Bajaj Auto,2015-06-15 00:00:00,2334.3,BUY
Bajaj Auto,2015-06-16 00:00:00,2391.35,BUY
Bajaj Auto,2015-06-17 00:00:00,2368.05,HOLD
Bajaj Auto,2015-06-18 00:00:00,2397.35,HOLD
Bajaj Auto,2015-06-19 00:00:00,2405.6,BUY
Bajaj Auto,2015-06-22 00:00:00,2425.4,BUY
Bajaj Auto,2015-06-23 00:00:00,2412.45,HOLD
Bajaj Auto,2015-06-24 00:00:00,2395.0,SELL
Bajaj Auto,2015-06-25 00:00:00,2506.25,HOLD
Bajaj Auto,2015-06-26 00:00:00,2540.15,BUY
Bajaj Auto,2015-06-29 00:00:00,2550.6,BUY
Bajaj Auto,2015-06-30 00:00:00,2535.65,HOLD
Bajaj Auto,2015-07-01 00:00:00,2523.6,SELL
Bajaj Auto,2015-07-02 00:00:00,2565.8,HOLD
Bajaj Auto,2015-07-03 00:00:00,2586.15,BUY
Bajaj Auto,2015-07-06 00:00:00,2595.35,BUY
Bajaj Auto,2015-07-07 00:00:00,2606.25,BUY
Bajaj Auto,2015-07-08 00:00:00,2573.9,HOLD
Bajaj Auto,2015-07-09 00:00:00,2513.95,SELL
Bajaj Auto,2015-07-10 00:00:00,2470.9,SELL
Bajaj Auto,2015-07-13 00:00:00,2497.45,HOLD
Bajaj Auto,2015-07-14 00:00:00,2499.05,BUY
Bajaj Auto,2015-07-15 00:00:00,2532.45,BUY
Bajaj Auto,2015-07-16 00:00:00,2544.25,BUY
Bajaj Auto,2015-07-17 00:00:00,2527.25,HOLD
Bajaj Auto,2015-07-20 00:00:00,2519.55,SELL
Bajaj Auto,2015-07-21 00:00:00,2544.6,HOLD
Bajaj Auto,2015-07-22 00:00:00,2619.1,BUY
Bajaj Auto,2015-07-23 00:00:00,2487.75,HOLD
Bajaj Auto,2015-07-24 00:00:00,2497.45,HOLD
Bajaj Auto,2015-07-27 00:00:00,2507.7,BUY
Bajaj Auto,2015-07-28 00:00:00,2476.05,HOLD
Bajaj Auto,2015-07-29 00:00:00,2495.15,HOLD
Bajaj Auto,2015-07-30 00:00:00,2523.8,BUY
Bajaj Auto,2015-07-31 00:00:00,2519.15,HOLD
Bajaj Auto,2015-08-03 00:00:00,2504.4,SELL
Bajaj Auto,2015-08-04 00:00:00,2510.55,HOLD
Bajaj Auto,2015-08-05 00:00:00,2569.7,BUY
Bajaj Auto,2015-08-06 00:00:00,2575.45,BUY
Bajaj Auto,2015-08-07 00:00:00,2537.85,HOLD
Bajaj Auto,2015-08-10 00:00:00,2556.3,HOLD
Bajaj Auto,2015-08-11 00:00:00,2541.75,HOLD
Bajaj Auto,2015-08-12 00:00:00,2462.1,SELL
Bajaj Auto,2015-08-13 00:00:00,2489.05,HOLD
Bajaj Auto,2015-08-14 00:00:00,2558.8,BUY
Bajaj Auto,2015-08-17 00:00:00,2529.95,HOLD
Bajaj Auto,2015-08-18 00:00:00,2522.0,SELL
Bajaj Auto,2015-08-19 00:00:00,2541.25,HOLD
Bajaj Auto,2015-08-20 00:00:00,2492.1,HOLD
Bajaj Auto,2015-08-21 00:00:00,2407.35,SELL
Bajaj Auto,2015-08-24 00:00:00,2188.45,SELL
Bajaj Auto,2015-08-25 00:00:00,2204.65,HOLD
Bajaj Auto,2015-08-26 00:00:00,2244.15,BUY
Bajaj Auto,2015-08-27 00:00:00,2189.3,HOLD
Bajaj Auto,2015-08-28 00:00:00,2269.2,HOLD
Bajaj Auto,2015-08-31 00:00:00,2254.9,HOLD
Bajaj Auto,2015-09-01 00:00:00,2251.75,SELL
Bajaj Auto,2015-09-02 00:00:00,2207.35,SELL
Bajaj Auto,2015-09-03 00:00:00,2246.85,HOLD
Bajaj Auto,2015-09-04 00:00:00,2207.85,HOLD
Bajaj Auto,2015-09-07 00:00:00,2192.75,SELL
Bajaj Auto,2015-09-08 00:00:00,2209.8,HOLD
Bajaj Auto,2015-09-09 00:00:00,2269.05,BUY
Bajaj Auto,2015-09-10 00:00:00,2302.45,BUY
Bajaj Auto,2015-09-11 00:00:00,2318.5,BUY
Bajaj Auto,2015-09-14 00:00:00,2310.5,HOLD
Bajaj Auto,2015-09-15 00:00:00,2295.2,SELL
Bajaj Auto,2015-09-16 00:00:00,2345.65,HOLD
Bajaj Auto,2015-09-18 00:00:00,2294.15,HOLD
Bajaj Auto,2015-09-21 00:00:00,2303.05,HOLD
Bajaj Auto,2015-09-22 00:00:00,2258.15,HOLD
Bajaj Auto,2015-09-23 00:00:00,2240.25,SELL
Bajaj Auto,2015-09-24 00:00:00,2283.1,HOLD
Bajaj Auto,2015-09-28 00:00:00,2275.9,HOLD
Bajaj Auto,2015-09-29 00:00:00,2251.75,SELL
Bajaj Auto,2015-09-30 00:00:00,2309.75,HOLD
Bajaj Auto,2015-10-01 00:00:00,2313.85,BUY
Bajaj Auto,2015-10-05 00:00:00,2384.4,BUY
Bajaj Auto,2015-10-06 00:00:00,2377.6,HOLD
Bajaj Auto,2015-10-07 00:00:00,2452.3,HOLD
Bajaj Auto,2015-10-08 00:00:00,2435.2,HOLD
Bajaj Auto,2015-10-09 00:00:00,2444.15,HOLD
Bajaj Auto,2015-10-12 00:00:00,2425.35,HOLD
Bajaj Auto,2015-10-13 00:00:00,2460.75,HOLD
Bajaj Auto,2015-10-14 00:00:00,2439.6,HOLD
Bajaj Auto,2015-10-15 00:00:00,2451.8,HOLD
Bajaj Auto,2015-10-16 00:00:00,2458.45,BUY
Bajaj Auto,2015-10-19 00:00:00,2459.75,BUY
Bajaj Auto,2015-10-20 00:00:00,2438.3,HOLD
Bajaj Auto,2015-10-21 00:00:00,2518.25,HOLD
Bajaj Auto,2015-10-23 00:00:00,2513.85,HOLD
Bajaj Auto,2015-10-26 00:00:00,2567.55,HOLD
