Title,Name,Platform_engagement,Platform_salesdata,Release Date,Year,Primary_Genre,Genres,Genre,Team,Publisher,Rating,Plays,Backlogs,Wishlist,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
God of War,God of War,,PS2,"Mar 22, 2005",2005.0,['Adventure',"['Adventure', 'Brawler', 'Strategy']",Action,"['SCE Santa Monica Studio', 'Sony Computer Entertainment']",Sony Computer Entertainment,3.6,0,0,896,2.71,1.29,0.02,0.43,4.45
Killer7,Killer7,,GC,"Jun 09, 2005",2005.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Capcom', 'Grasshopper Manufacture']",Capcom,4.3,0,0,0,0.12,0.03,0.0,0.0,0.15
Killer7,Killer7,,PS2,"Jun 09, 2005",2005.0,['Adventure',"['Adventure', 'Shooter']",Action,"['Capcom', 'Grasshopper Manufacture']",Capcom,4.3,0,0,0,0.04,0.03,0.0,0.01,0.09
Grand Theft Auto IV,Grand Theft Auto IV,,X360,"Apr 29, 2008",2008.0,['Adventure',"['Adventure', 'Racing', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,721,6.76,3.1,0.14,1.03,11.02
Grand Theft Auto IV,Grand Theft Auto IV,,PS3,"Apr 29, 2008",2008.0,['Adventure',"['Adventure', 'Racing', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,721,4.76,3.76,0.44,1.62,10.57
Grand Theft Auto IV,Grand Theft Auto IV,,PC,"Apr 29, 2008",2008.0,['Adventure',"['Adventure', 'Racing', 'Shooter']",Action,"['Rockstar North', 'Rockstar Games']",Take-Two Interactive,3.8,0,0,721,0.01,0.79,0.0,0.08,0.88
Metroid: Zero Mission,Metroid: Zero Mission,,GBA,"Feb 09, 2004",2004.0,['Adventure',"['Adventure', 'Platform', 'Shooter']",Adventure,"['Nintendo R&D1', 'Nintendo']",Nintendo,4.0,0,0,700,0.6,0.22,0.0,0.01,0.84
Final Fantasy X,Final Fantasy X,,PS2,"Jul 19, 2001",2001.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Square Electronic Arts', 'Square']",Sony Computer Entertainment,4.1,0,0,990,2.91,2.07,2.73,0.33,8.05
Danganronpa 2: Goodbye Despair,Danganronpa 2: Goodbye Despair,,PSV,"Jul 26, 2012",2014.0,['Adventure',"['Adventure', 'Point-and-Click', 'Visual Novel']",Misc,"['NIS America', 'Spike ChunSoft']",Nippon Ichi Software,3.9,0,0,605,0.13,0.07,0.0,0.06,0.26
Danganronpa 2: Goodbye Despair,Danganronpa 2: Goodbye Despair,,PSP,"Jul 26, 2012",2012.0,['Adventure',"['Adventure', 'Point-and-Click', 'Visual Novel']",Misc,"['NIS America', 'Spike ChunSoft']",Spike,3.9,0,0,605,0.0,0.0,0.19,0.0,0.19
Final Fantasy IX,Final Fantasy IX,,PS,"Jul 07, 2000",2000.0,['RPG',"['RPG', 'Turn Based Strategy']",Role-Playing,"['Square', 'Square Electronic Arts']",SquareSoft,4.3,0,0,0,1.62,0.77,2.78,0.14,5.3
Halo 3,Halo 3,,X360,"Sep 25, 2007",2007.0,['Shooter'],['Shooter'],Shooter,"['Bungie', 'Microsoft Game Studios']",Microsoft Game Studios,4.2,0,0,528,7.97,2.83,0.13,1.21,12.14
Metroid Fusion,Metroid Fusion,,GBA,"Nov 17, 2002",2002.0,['Adventure',"['Adventure', 'Platform', 'Shooter']",Action,"['Nintendo', 'Nintendo R&D1']",Nintendo,4.0,0,0,799,1.18,0.27,0.17,0.06,1.68
Final Fantasy VI,Final Fantasy VI,,PS,"Apr 02, 1994",1999.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Square Enix', 'Square']",Sony Computer Entertainment,4.4,0,0,0,0.0,0.0,0.08,0.01,0.08
Far Cry 3,Far Cry 3,,PS3,"Nov 28, 2012",2012.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['Ubisoft Entertainment', 'Ubisoft Montreal']",Ubisoft,3.7,0,0,660,0.88,1.75,0.1,0.72,3.45
Far Cry 3,Far Cry 3,,X360,"Nov 28, 2012",2012.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['Ubisoft Entertainment', 'Ubisoft Montreal']",Ubisoft,3.7,0,0,660,1.38,1.35,0.02,0.28,3.04
Far Cry 3,Far Cry 3,,PC,"Nov 28, 2012",2012.0,['Adventure',"['Adventure', 'Shooter']",Shooter,"['Ubisoft Entertainment', 'Ubisoft Montreal']",Ubisoft,3.7,0,0,660,0.21,0.62,0.0,0.14,0.98
Plants vs. Zombies,Plants vs. Zombies,,DS,"May 05, 2009",2011.0,['Puzzle',"['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']",Strategy,['PopCap Games'],Mastertronic,3.7,0,493,82,0.95,0.15,0.0,0.08,1.18
Plants vs. Zombies,Plants vs. Zombies,,X360,"May 05, 2009",2010.0,['Puzzle',"['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']",Strategy,['PopCap Games'],PopCap Games,3.7,0,493,82,0.24,0.0,0.0,0.02,0.26
Plants vs. Zombies,Plants vs. Zombies,,PS3,"May 05, 2009",2011.0,['Puzzle',"['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']",Strategy,['PopCap Games'],PopCap Games,3.7,0,493,82,0.18,0.0,0.0,0.01,0.19
Plants vs. Zombies,Plants vs. Zombies,,PC,"May 05, 2009",2009.0,['Puzzle',"['Puzzle', 'Real Time Strategy', 'Simulator', 'Strategy', 'Tactical']",Strategy,['PopCap Games'],PopCap Games,3.7,0,493,82,0.0,0.04,0.0,0.01,0.05
Demon's Souls,Demon's Souls,,PS3,"Nov 12, 2020",2009.0,['Adventure',"['Adventure', 'RPG']",Role-Playing,"['Bluepoint Games', 'Sony Interactive Entertainment']",Namco Bandai Games,3.9,0,0,0,0.97,0.34,0.35,0.18,1.84
The Legend of Zelda: Link's Awakening,The Legend of Zelda: Link's Awakening,,GB,"Sep 20, 2019",1992.0,['Adventure'],['Adventure'],Action,"['Nintendo', 'Grezzo']",Nintendo,3.9,0,0,0,2.21,0.96,0.54,0.13,3.83
Assassin's Creed,Assassin's Creed,,X360,"Nov 13, 2007",2007.0,['Adventure',"['Adventure', 'Platform']",Adventure,"['Ubisoft Montreal', 'Ubisoft Entertainment']",Ubisoft,2.9,0,0,496,3.28,1.65,0.07,0.55,5.55
Assassin's Creed,Assassin's Creed,,PS3,"Nov 13, 2007",2007.0,['Adventure',"['Adventure', 'Platform']",Adventure,"['Ubisoft Montreal', 'Ubisoft Entertainment']",Ubisoft,2.9,0,0,496,1.91,2.0,0.09,0.83,4.83
Assassin's Creed,Assassin's Creed,,PC,"Nov 13, 2007",2008.0,['Adventure',"['Adventure', 'Platform']",Adventure,"['Ubisoft Montreal', 'Ubisoft Entertainment']",Ubisoft,2.9,0,0,496,0.01,0.83,0.0,0.08,0.92
Call of Duty: Black Ops,Call of Duty: Black Ops,,X360,"Nov 09, 2010",2010.0,['Shooter'],['Shooter'],Shooter,"['Activision', 'Treyarch']",Activision,3.7,0,611,318,9.67,3.73,0.11,1.13,14.64
Call of Duty: Black Ops,Call of Duty: Black Ops,,PS3,"Nov 09, 2010",2010.0,['Shooter'],['Shooter'],Shooter,"['Activision', 'Treyarch']",Activision,3.7,0,611,318,5.98,4.44,0.48,1.83,12.73
Call of Duty: Black Ops,Call of Duty: Black Ops,,PC,"Nov 09, 2010",,['Shooter'],['Shooter'],Shooter,"['Activision', 'Treyarch']",Activision,3.7,0,611,318,0.58,0.81,0.0,0.24,1.63
Call of Duty: Black Ops,Call of Duty: Black Ops,,Wii,"Nov 09, 2010",2010.0,['Shooter'],['Shooter'],Shooter,"['Activision', 'Treyarch']",Activision,3.7,0,611,318,0.82,0.47,0.0,0.12,1.4
Call of Duty: Black Ops,Call of Duty: Black Ops,,DS,"Nov 09, 2010",2010.0,['Shooter'],['Shooter'],Shooter,"['Activision', 'Treyarch']",Activision,3.7,0,611,318,0.54,0.05,0.0,0.04,0.63
The Legend of Zelda,The Legend of Zelda,,NES,"Feb 21, 1986",1986.0,['Adventure'],['Adventure'],Action,"['Nintendo EAD', 'Nintendo']",Nintendo,3.2,0,0,463,3.74,0.93,1.69,0.14,6.51
Ghost Trick: Phantom Detective,Ghost Trick: Phantom Detective,,DS,"Jun 19, 2010",2010.0,['Adventure',"['Adventure', 'Puzzle']",Adventure,['Capcom'],Capcom,4.4,0,0,0,0.2,0.08,0.12,0.03,0.42
Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,,GC,"Jul 22, 2004",2004.0,['Adventure',"['Adventure', 'RPG', 'Turn Based Strategy']",Role-Playing,"['Nintendo', 'Intelligent Systems Co., Ltd.']",Nintendo,4.4,0,0,0,1.48,0.25,0.46,0.06,2.25
God of War II,God of War II,,PS2,"Mar 13, 2007",2007.0,['Adventure',"['Adventure', 'Brawler', 'Platform']",Action,"['Sony Computer Entertainment, Inc. (SCEI)', 'SIE Santa Monica Studio']",Sony Computer Entertainment,4.0,0,0,687,2.32,0.04,0.04,1.67,4.07
Mass Effect 2,Mass Effect 2,,X360,"Jan 26, 2010",2010.0,['Adventure',"['Adventure', 'RPG', 'Shooter']",Role-Playing,"['BioWare', 'Electronic Arts']",Electronic Arts,4.3,0,0,645,1.99,0.82,0.03,0.27,3.11
Mass Effect 2,Mass Effect 2,,PS3,"Jan 26, 2010",2011.0,['Adventure',"['Adventure', 'RPG', 'Shooter']",Role-Playing,"['BioWare', 'Electronic Arts']",Electronic Arts,4.3,0,0,645,0.78,0.47,0.03,0.2,1.48
Mass Effect 2,Mass Effect 2,,PC,"Jan 26, 2010",2010.0,['Adventure',"['Adventure', 'RPG', 'Shooter']",Role-Playing,"['BioWare', 'Electronic Arts']",Electronic Arts,4.3,0,0,645,0.01,0.32,0.0,0.07,0.4
Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,,PS4,"Mar 18, 2014",2014.0,['Adventure',"['Adventure', 'RPG', 'Shooter', 'Strategy']",Action,"['Konami', 'Kojima Productions']",Konami Digital Entertainment,3.3,0,0,549,0.45,0.46,0.17,0.2,1.28
