,id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
count,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0,36403.0
mean,4.5255256968434157e+17,173761672.40568087,40.728442679158256,-73.94733295921954,324.11779248962995,28.617916105815453,26.85105623162926,0.6403837595802544,63.40936186578029,161.65516578303985,4.008817954564185
std,5.3207112767868416e+17,192287741.70296907,0.05633553444546906,0.05503342284454165,2431.2572827595427,29.288631363083013,68.38889488465199,1.5814476153348591,202.48922871325706,147.3469194525726,19.893298254982607
min,2539.0,1678.0,40.5003663,-74.251907,3.0,1.0,0.0,0.01,1.0,0.0,0.0
25%,21472793.0,17775359.0,40.68832,-73.983517,130.0,30.0,0.0,0.14,1.0,0.0,0.0
50%,50540716.0,86233928.0,40.72614,-73.95498,150.0,30.0,3.0,0.25,2.0,153.0,0.0
75%,9.550924010326289e+17,306421847.5,40.76212,-73.92806,175.0,30.0,22.0,0.49,9.0,318.0,1.0
max,1.4777459417128448e+18,710587002.0,40.91139,-73.71182221830068,50052.0,1124.0,3518.0,123.87,1087.0,365.0,1771.0
