season_id,name,year,competition_id
sr:season:124473,"ATP Paris, France Men Singles 2025",2025,sr:competition:2661
sr:season:111546,"ATP Paris, France Men Singles 2024",2024,sr:competition:2661
sr:season:135041,"ATP Paris, France Men Doubles 2026",2026,sr:competition:2663
sr:season:124475,"ATP Paris, France Men Doubles 2025",2025,sr:competition:2663
sr:season:111548,"ATP Paris, France Men Doubles 2024",2024,sr:competition:2663
sr:season:133657,"ATP Dubai, UAE Men Singles 2026",2026,sr:competition:2667
sr:season:124305,"ATP Dubai, UAE Men Singles 2025",2025,sr:competition:2667
sr:season:111322,"ATP Dubai, UAE Men Singles 2024",2024,sr:competition:2667
sr:season:133659,"ATP Dubai, UAE Men Doubles 2026",2026,sr:competition:2669
sr:season:124307,"ATP Dubai, UAE Men Doubles 2025",2025,sr:competition:2669
sr:season:111320,"ATP Dubai, UAE Men Doubles 2024",2024,sr:competition:2669
sr:season:133607,"ATP Rotterdam, Netherlands Men Singles 2026",2026,sr:competition:2679
sr:season:124271,"ATP Rotterdam, Netherlands Men Singles 2025",2025,sr:competition:2679
sr:season:111294,"ATP Rotterdam, Netherlands Men Singles 2024",2024,sr:competition:2679
sr:season:133609,"ATP Rotterdam, Netherlands Men Doubles 2026",2026,sr:competition:2681
sr:season:124273,"ATP Rotterdam, Netherlands Men Doubles 2025",2025,sr:competition:2681
sr:season:111292,"ATP Rotterdam, Netherlands Men Doubles 2024",2024,sr:competition:2681
sr:season:124143,"WTA Bogota, Colombia Women Singles 2025",2025,sr:competition:2703
sr:season:112890,"WTA Bogota, Colombia Women Singles 2024",2024,sr:competition:2703
sr:season:100593,"WTA Bogota, Colombia Women Singles 2023",2023,sr:competition:2703
sr:season:124145,"WTA Bogota, Colombia Women Doubles 2025",2025,sr:competition:2705
sr:season:112892,"WTA Bogota, Colombia Women Doubles 2024",2024,sr:competition:2705
sr:season:100595,"WTA Bogota, Colombia Women Doubles 2023",2023,sr:competition:2705
sr:season:133653,"ATP Acapulco, Mexico Men Singles 2026",2026,sr:competition:2709
sr:season:124301,"ATP Acapulco, Mexico Men Singles 2025",2025,sr:competition:2709
sr:season:111314,"ATP Acapulco, Mexico Men Singles 2024",2024,sr:competition:2709
sr:season:133655,"ATP Acapulco, Mexico Men Doubles 2026",2026,sr:competition:2711
sr:season:124303,"ATP Acapulco, Mexico Men Doubles 2025",2025,sr:competition:2711
sr:season:111312,"ATP Acapulco, Mexico Men Doubles 2024",2024,sr:competition:2711
sr:season:124349,"WTA Monterrey, Mexico Women Singles 2025",2025,sr:competition:2715
sr:season:113218,"WTA Monterrey, Mexico Women Singles 2024",2024,sr:competition:2715
sr:season:99183,"WTA Monterrey, Mexico Women Singles 2023",2023,sr:competition:2715
sr:season:124351,"WTA Monterrey, Mexico Women Doubles 2025",2025,sr:competition:2717
sr:season:113220,"WTA Monterrey, Mexico Women Doubles 2024",2024,sr:competition:2717
sr:season:99185,"WTA Monterrey, Mexico Women Doubles 2023",2023,sr:competition:2717
sr:season:135021,"ATP Marseille, France Men Singles 2026",2026,sr:competition:2721
sr:season:124285,"ATP Marseille, France Men Singles 2025",2025,sr:competition:2721
sr:season:111290,"ATP Marseille, France Men Singles 2024",2024,sr:competition:2721
sr:season:135023,"ATP Marseille, France Men Doubles 2026",2026,sr:competition:2723
sr:season:124287,"ATP Marseille, France Men Doubles 2025",2025,sr:competition:2723
sr:season:111288,"ATP Marseille, France Men Doubles 2024",2024,sr:competition:2723
sr:season:133639,"ATP Buenos Aires, Argentina Men Singles 2026",2026,sr:competition:2727
sr:season:124277,"ATP Buenos Aires, Argentina Men Singles 2025",2025,sr:competition:2727
sr:season:111298,"ATP Buenos Aires, Argentina Men Singles 2024",2024,sr:competition:2727
sr:season:133641,"ATP Buenos Aires, Argentina Men Doubles 2026",2026,sr:competition:2729
sr:season:124279,"ATP Buenos Aires, Argentina Men Doubles 2025",2025,sr:competition:2729
sr:season:111296,"ATP Buenos Aires, Argentina Men Doubles 2024",2024,sr:competition:2729
sr:season:133651,"ATP Delray Beach, USA Men Singles 2026",2026,sr:competition:2733
sr:season:124281,"ATP Delray Beach, USA Men Singles 2025",2025,sr:competition:2733
sr:season:111302,"ATP Delray Beach, USA Men Singles 2024",2024,sr:competition:2733
sr:season:124283,"ATP Delray Beach, USA Men Doubles 2025",2025,sr:competition:2735
sr:season:111300,"ATP Delray Beach, USA Men Doubles 2024",2024,sr:competition:2735
sr:season:101289,"ATP Delray Beach, USA Men Doubles 2023",2023,sr:competition:2735
sr:season:134087,"ATP Indian Wells, USA Men Singles 2026",2026,sr:competition:2739
sr:season:124313,"ATP Indian Wells, USA Men Singles",2025,sr:competition:2739
sr:season:111330,"ATP Indian Wells, USA Men Singles 2024",2024,sr:competition:2739
sr:season:134089,"ATP Indian Wells, USA Men Doubles 2026",2026,sr:competition:2741
sr:season:124315,"ATP Indian Wells, USA Men Doubles 2025",2025,sr:competition:2741
sr:season:111328,"2024 ATP Indian Wells, USA Men Doubles",2024,sr:competition:2741
sr:season:134091,"ATP Miami, USA Men Singles 2026",2026,sr:competition:2745
sr:season:124319,"ATP Miami, USA Men Singles 2025",2025,sr:competition:2745
sr:season:111332,"ATP Miami, USA Men Singles 2024",2024,sr:competition:2745
sr:season:134093,"ATP Miami, USA Men Doubles 2026",2026,sr:competition:2747
sr:season:124321,"ATP Miami, USA Men Doubles 2025",2025,sr:competition:2747
sr:season:111334,"ATP Miami, USA Men Doubles 2024",2024,sr:competition:2747
sr:season:134101,"ATP Houston, USA Men Singles 2026",2026,sr:competition:2751
